Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,EntryDate,ExitDate
-242,27,43,412.04998779296875,288.6000061035156,29874.895568847656,0.29959952759780106,27,43,16,2021-02-11 00:00:00+00:00,2021-03-08 00:00:00+00:00
388,45,986,309.3999938964844,551.0,93740.80236816406,0.780866227761942,45,986,941,2021-03-10 00:00:00+00:00,2024-12-04 00:00:00+00:00
34,43,986,288.6000061035156,551.0,8921.599792480469,0.9092168688394491,43,986,943,2021-03-08 00:00:00+00:00,2024-12-04 00:00:00+00:00
