Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,EntryDate,ExitDate,Symbol,TransactionType,Shares,TransactionAmount,Gain/Loss,Balance
1.0,134.0,446.0,375.3999938964844,52.29999923706055,-323.0999946594238,-0.8606819390319912,134.0,446.0,312.0,2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00,FNGU,Buy,1,375.3999938964844,-323.0999946594238,99676.90000534058
1.0,528.0,988.0,89.0,578.0,489.0,5.49438202247191,528.0,988.0,460.0,2023-02-08 00:00:00+00:00,2024-12-06 00:00:00+00:00,FNGU,Buy,1,89.0,489.0,100165.90000534058
1.0,427.0,988.0,76.5,578.0,501.5,6.555555555555555,427.0,988.0,561.0,2022-09-14 00:00:00+00:00,2024-12-06 00:00:00+00:00,FNGU,Buy,1,76.5,501.5,100667.40000534058
265.0,134.0,988.0,375.3999938964844,578.0,53689.00161743164,0.5396910213040176,134.0,988.0,854.0,2021-07-16 00:00:00+00:00,2024-12-06 00:00:00+00:00,FNGU,Buy,265,99480.99838256836,53689.00161743164,154356.40162277222
,,,,,,,,,,,,FNGU,Summary,,,54356.40162277222,154356.40162277222
