Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,EntryDate,ExitDate
1,134,446,375.3999938964844,52.29999923706055,-323.0999946594238,-0.8606819390319912,134,446,312,2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00
1,528,987,89.0,577.0,488.0,5.48314606741573,528,987,459,2023-02-08 00:00:00+00:00,2024-12-05 00:00:00+00:00
1,427,987,76.5,577.0,500.5,6.542483660130719,427,987,560,2022-09-14 00:00:00+00:00,2024-12-05 00:00:00+00:00
265,134,987,375.3999938964844,577.0,53424.00161743164,0.5370271960076438,134,987,853,2021-07-16 00:00:00+00:00,2024-12-05 00:00:00+00:00
