Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,EntryDate,ExitDate
1,134,446,375.3999938964844,52.29999923706055,-323.0999946594238,-0.8606819390319912,134,446,312,2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00
1,528,985,89.0,520.52001953125,431.52001953125,4.848539545294944,528,985,457,2023-02-08 00:00:00+00:00,2024-12-03 00:00:00+00:00
1,427,985,76.5,520.52001953125,444.02001953125,5.804183261846405,427,985,558,2022-09-14 00:00:00+00:00,2024-12-03 00:00:00+00:00
265,134,985,375.3999938964844,520.52001953125,38456.80679321289,0.3865743952962932,134,985,851,2021-07-16 00:00:00+00:00,2024-12-03 00:00:00+00:00
