EntryDate,ExitDate,Symbol,TransactionType,Shares,TransactionAmount,Gain/Loss,Balance
2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00,FNGU,Buy,1,375.3999938964844,-323.0999946594238,99676.90000534058
2023-02-08 00:00:00+00:00,2024-12-06 00:00:00+00:00,FNGU,Buy,1,89.0,489.0,100165.90000534058
2022-09-14 00:00:00+00:00,2024-12-06 00:00:00+00:00,FNGU,Buy,1,76.5,501.5,100667.40000534058
2021-07-16 00:00:00+00:00,2024-12-06 00:00:00+00:00,FNGU,Buy,265,99480.99838256836,53689.00161743164,154356.40162277222
,,FNGU,Summary,,,54356.40162277222,154356.40162277222
