Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,EntryDate,ExitDate
-128,41,123,780.0,484.0,37888.0,0.37948717948717947,41,123,82,2021-03-04 00:00:00+00:00,2021-06-30 00:00:00+00:00
-7,84,123,668.0,484.0,1288.0,0.27544910179640714,84,123,39,2021-05-05 00:00:00+00:00,2021-06-30 00:00:00+00:00
-23,84,202,668.0,404.0,6072.0,0.39520958083832336,84,202,118,2021-05-05 00:00:00+00:00,2021-10-21 00:00:00+00:00
-168,156,202,552.0,404.0,24864.0,0.2681159420289855,156,202,46,2021-08-17 00:00:00+00:00,2021-10-21 00:00:00+00:00
-65,156,300,552.0,806.7000122070312,-16555.50079345703,-0.461413065592448,156,300,144,2021-08-17 00:00:00+00:00,2022-03-14 00:00:00+00:00
-365,231,300,406.0,806.7000122070312,-146255.5044555664,-0.9869458428744613,231,300,69,2021-12-02 00:00:00+00:00,2022-03-14 00:00:00+00:00
