EntryDate,ExitDate,Symbol,TransactionType,Shares,TransactionAmount,Gain/Loss,Balance
2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00,FNGU,Buy,1,375.3999938964844,-323.0999946594238,99676.90000534058
2023-02-08 00:00:00+00:00,2024-12-03 00:00:00+00:00,FNGU,Buy,1,89.0,431.52001953125,100108.42002487183
2022-09-14 00:00:00+00:00,2024-12-03 00:00:00+00:00,FNGU,Buy,1,76.5,444.02001953125,100552.44004440308
2021-07-16 00:00:00+00:00,2024-12-03 00:00:00+00:00,FNGU,Buy,265,99480.99838256836,38456.80679321289,139009.24683761597
,,FNGU,Summary,,,39009.24683761597,139009.24683761597
