Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,EntryDate,ExitDate
-242,27,43,412.04998779296875,288.6000061035156,29874.895568847656,0.29959952759780106,27,43,16,2021-02-11 00:00:00+00:00,2021-03-08 00:00:00+00:00
388,45,987,309.3999938964844,577.0,103828.80236816406,0.8648998428650463,45,987,942,2021-03-10 00:00:00+00:00,2024-12-05 00:00:00+00:00
34,43,987,288.6000061035156,577.0,9805.599792480469,0.9993069570242508,43,987,944,2021-03-08 00:00:00+00:00,2024-12-05 00:00:00+00:00
