EntryDate,ExitDate,Symbol,TransactionType,Shares,TransactionAmount,Gain/Loss,Balance
2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00,FNGU,Buy,1,375.3999938964844,-323.0999946594238,99676.90000534058
2023-02-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,FNGU,Buy,1,89.0,500.83001708984375,100177.73002243042
2022-09-14 00:00:00+00:00,2024-12-09 00:00:00+00:00,FNGU,Buy,1,76.5,513.3300170898438,100691.06003952026
2021-07-16 00:00:00+00:00,2024-12-09 00:00:00+00:00,FNGU,Buy,265,99480.99838256836,56823.956146240234,157515.0161857605
,,FNGU,Summary,,,57515.0161857605,157515.0161857605
