EntryDate,ExitDate,Symbol,TransactionType,Shares,TransactionAmount,Gain/Loss,Balance
2021-07-16 00:00:00+00:00,2022-10-11 00:00:00+00:00,FNGU,Buy,1,375.3999938964844,-323.0999946594238,99676.90000534058
2023-02-08 00:00:00+00:00,2024-01-29 00:00:00+00:00,FNGU,Buy,1,89.0,182.04998779296875,99858.94999313354
2022-09-14 00:00:00+00:00,2024-01-29 00:00:00+00:00,FNGU,Buy,1,76.5,194.54998779296875,100053.49998092651
2021-07-16 00:00:00+00:00,2024-01-29 00:00:00+00:00,FNGU,Buy,265,99480.99838256836,-27652.75161743164,72400.74836349487
,,FNGU,Summary,,,-27599.251636505127,72400.74836349487
